battle,month,year,decade,century,city,country,war,war.theater,lon,lat,gadm.adm0,gadm.adm1,gadm.adm2,source,source.page
Trier,August,1522,1520,1500,Trier,Germany,Knights' Revolt,NA,6.6371433,49.749992,Germany,Rheinland-Pfalz,Trier,Hitchcock (1958),1
Landstuhl,April,1523,1520,1500,Landstuhl,Germany,Knights' Revolt,NA,7.5709052,49.4141464,Germany,Rheinland-Pfalz,Rheinhessen-Pfalz,Hitchcock (1958),1
Donaueschingen,December,1524,1520,1500,Donaueschingen,Germany,German Peasants' War,NA,8.4979461,47.9521523,Germany,Baden-Wurttemberg,Freiburg,Miller (2003),17
Kempten,April,1525,1520,1500,Kempten,Germany,German Peasants' War,NA,10.3157835,47.7285699,Germany,Bayern,Schwaben,Miller (2003),14
Leipheim,April,1525,1520,1500,Leipheim,Germany,German Peasants' War,NA,10.2263059,48.4444121,Germany,Bayern,Schwaben,Miller (2003),14
Wurzach,April,1525,1520,1500,Bad Wurzach,Germany,German Peasants' War,NA,9.8938287,47.9081917,Germany,Baden-Wurttemberg,Tubingen,Miller (2003),21
Boblingen,May,1525,1520,1500,Boblingen,Germany,German Peasants' War,NA,9.0088299,48.6813312,Germany,Baden-Wurttemberg,Stuttgart,Miller (2003),34
Frankenhausen,May,1525,1520,1500,Bad Frankenhausen,Germany,German Peasants' War,NA,11.1016361,51.3561014,Germany,Thuringen,Thuringen,Miller (2003),40
Freiburg,May,1525,1520,1500,Freiburg,Germany,German Peasants' War,NA,7.8421043,47.9990077,Germany,Baden-Wurttemberg,Freiburg,Miller (2003),22
Wurzburg,May,1525,1520,1500,Wurzburg,Germany,German Peasants' War,NA,9.9533548,49.7913044,Germany,Bayern,Unterfranken,Miller (2003),15
Zabern (Saverne),May,1525,1520,1500,Saverne,France,German Peasants' War,NA,7.361647,48.741963,France,Alsace,Bas-Rhin,Miller (2003),23
Ingolstadt,June,1525,1520,1500,Ingolstadt,Germany,German Peasants' War,NA,11.4257541,48.7665351,Germany,Bayern,Oberbayern,Miller (2003),37
Konigshofen,June,1525,1520,1500,Bad Konigshofen,Germany,German Peasants' War,NA,10.4662774,50.3013477,Germany,Bayern,Unterfranken,Miller (2003),16
Pfeddersheim,June,1525,1520,1500,Pfeddersheim,Germany,German Peasants' War,NA,8.273839,49.6372769,Germany,Rheinland-Pfalz,Rheinhessen-Pfalz,Miller (2003),38
Wurzburg,June,1525,1520,1500,Wurzburg,Germany,German Peasants' War,NA,9.9533548,49.7913044,Germany,Bayern,Unterfranken,Miller (2003),16
Leubas River,July,1525,1520,1500,Leubas,Germany,German Peasants' War,NA,10.3371232,47.7637923,Germany,Bayern,Schwaben,Miller (2003),38
Schladming,July,1525,1520,1500,Schladming,Austria,German Peasants' War,NA,13.68544,47.394203,Austria,Steiermark,Liezen,Miller (2003),41
Hohentweil,NA,1525,1520,1500,Hohentwiel,Germany,German Peasants' War,NA,8.8188889,47.7647222,Germany,Baden-Wurttemberg,Freiburg,Miller (2003),15
Sulzberg,Spring,1525,1520,1500,Sulzberg,Germany,German Peasants' War,NA,10.3480918,47.6609921,Germany,Bayern,Schwaben,Miller (2003),41
Kappel,June,1529,1520,1500,Kappel am Albis,Switzerland,Swiss Religious Wars,First War of Kappel,8.5259411,47.2279625,Switzerland,Zurich,Affoltern,Heinze (2005),130
Zug,October,1531,1530,1500,Zug,Switzerland,Swiss Religious Wars,Second War of Kappel,8.513854,47.1745887,Switzerland,Zug,Zug,Jaques (2007),1136
Zurich (Kappel),October,1531,1530,1500,Kappel am Albis,Switzerland,Swiss Religious Wars,Second War of Kappel,8.5259411,47.2279625,Switzerland,Zurich,Affoltern,Jaques (2007),510
Ingolstadt,August,1546,1540,1500,Ingolstadt,Germany,Schmalkaldic Wars,War of the German Reformation,11.4257541,48.7665351,Germany,Bayern,Oberbayern,Tracy (2002),211
Muhlberg,April,1547,1540,1500,Muhlberg,Germany,Schmalkaldic Wars,War of the German Reformation,10.824167,50.8675,Germany,Thuringen,Thuringen,Jaques (2007),694
Wittenberg,May,1547,1540,1500,Wittenberg,Germany,Schmalkaldic Wars,War of the German Reformation,12.6279659,51.8739831,Germany,Sachsen-Anhalt,Dessau,Heinze (2005),116
