event,lon,lat
Confessional battle,6.6371433,49.749992
Confessional battle,7.5709052,49.4141464
Confessional battle,8.4979461,47.9521523
Confessional battle,10.3157835,47.7285699
Confessional battle,10.2263059,48.4444121
Confessional battle,9.8938287,47.9081917
Confessional battle,9.0088299,48.6813312
Confessional battle,11.1016361,51.3561014
Confessional battle,7.8421043,47.9990077
Confessional battle,9.9533548,49.7913044
Confessional battle,7.361647,48.741963
Confessional battle,11.4257541,48.7665351
Confessional battle,10.4662774,50.3013477
Confessional battle,8.273839,49.6372769
Confessional battle,9.9533548,49.7913044
Confessional battle,10.3371232,47.7637923
Confessional battle,13.68544,47.394203
Confessional battle,8.8188889,47.7647222
Confessional battle,10.3480918,47.6609921
Confessional battle,8.5259411,47.2279625
Confessional battle,8.513854,47.1745887
Confessional battle,8.5259411,47.2279625
Confessional battle,11.4257541,48.7665351
Confessional battle,10.824167,50.8675
Confessional battle,12.6279659,51.8739831
Confessional battle,10.3279036,44.801485
Confessional battle,6.1757156,49.1193089
Confessional battle,9.655833,51.769722
Confessional battle,4.948753,48.499508
Confessional battle,-2.49096,57.053856
Confessional battle,1.099971,49.443232
Confessional battle,0.7193119,45.026165
Confessional battle,1.370889,48.736134
Confessional battle,-4.224721,57.477773
Confessional battle,1.909251,47.902964
Confessional battle,0.107929,49.49437
Confessional battle,-3.9369029,56.1165227
Confessional battle,3.518332,50.357113
Confessional battle,4.4024643,51.2194475
Confessional battle,-3.053918,55.941941
Confessional battle,2.357443,48.936181
Confessional battle,1.489012,48.443854
Confessional battle,7.0118901,53.1549624
Confessional battle,-3.9542091,56.3016086
Confessional battle,7.3849319,53.2682267
Confessional battle,4.87115,50.72336
Confessional battle,-0.104503,45.663292
Confessional battle,1.240181,45.596783
Confessional battle,0.340375,46.580224
Confessional battle,-0.7739279,43.48756
Confessional battle,-2.63149,48.361272
Confessional battle,-0.517763,45.944823
Confessional battle,4.485898,47.130623
Confessional battle,4.1636846,51.902582
Confessional battle,3.5709125,51.4536672
Confessional battle,3.956659,50.4542408
Confessional battle,2.3522219,48.856614
Confessional battle,4.4775362,51.0258761
Confessional battle,3.610998,51.4987962
Confessional battle,6.1960584,52.142736
Confessional battle,4.6462194,52.3873878
Confessional battle,-1.151139,46.160329
Confessional battle,5.1604238,52.2952549
Confessional battle,2.839867,47.329583
Confessional battle,4.7533754,52.6323813
Confessional battle,4.4970097000000004,52.1601144
Confessional battle,5.3235903,52.7978321
