decade,trials,deaths,battles
1300,48,38,0.0
1310,116,102,0.0
1320,71,5,0.0
1330,53,23,0.0
1340,9,0,0.0
1350,15,0,0.0
1360,12,1,0.0
1370,30,5,0.0
1380,31,2,0.0
1390,38,14,0.0
1400,202,54,0.0
1410,181,46,0.0
1420,561,421,0.0
1430,249,78,0.0
1440,255,87,0.0
1450,234,75,0.0
1460,120,39,0.0
1470,145,35,0.0
1480,406,188,0.0
1490,207,98,0.0
1500,85,38,0.0
1510,99,37,0.0
1520,120,46,20.0
1530,145,60,2.0
1540,234,105,3.0
1550,402,162,3.0
1560,716,243,24.0
1570,1188,485,33.0
1580,2257,1177,31.0
1590,3705,1923,22.0
1600,2726,1081,14.0
1610,6035,1966,5.0
1620,4741,2378,40.0
1630,2723,1402,62.0
1640,2909,986,149.0
1650,2636,951,16.0
1660,2446,562,0.0
1670,1956,499,0.0
1680,1522,193,0.0
1690,1094,209,0.0
1700,612,113,0.0
1710,479,100,0.0
1720,485,113,0.0
1730,300,60,0.0
1740,338,99,0.0
1750,211,27,0.0
1760,57,2,0.0
1770,26,4,0.0
1780,3,1,0.0
1790,4,0,0.0
1820,1,0,0.0
1830,1,0,0.0
1850,1,0,0.0
