country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Austria,1300.0,1300.0,0.0,0.0,2e6,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1310.0,1300.0,1.0,0.0,1925e3,0.519,0.0,0.0,-0.6558513958162484,0.6931471805599453,0.4180522236136358,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1320.0,1300.0,3.0,0.0,185e4,1.622,0.0,1.0986122886681098,0.48365995569322123,1.3862943611198906,0.9639373853415082,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1330.0,1300.0,1.0,0.0,1775e3,0.563,0.0,0.0,-0.5744756508424468,0.6931471805599453,0.44660705143933954,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1340.0,1300.0,1.0,0.0,17e5,0.588,0.0,0.0,-0.5310283310835102,0.6931471805599453,0.46247536282494395,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1350.0,1300.0,0.0,0.0,1625e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1360.0,1300.0,0.0,0.0,155e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1370.0,1300.0,0.0,0.0,1475e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1380.0,1300.0,0.0,0.0,14e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1390.0,1300.0,0.0,0.0,1325e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA
Austria,1400.0,1400.0,0.0,0.0,125e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,2.16,NA,NA,NA
Austria,1410.0,1400.0,0.0,0.0,1325e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,2.16,NA,NA,NA
