country,decade,population
Austria,1300.0,2e6
Austria,1310.0,1925e3
Austria,1320.0,185e4
Austria,1330.0,1775e3
Austria,1340.0,17e5
Austria,1350.0,1625e3
Austria,1360.0,155e4
Austria,1370.0,1475e3
Austria,1380.0,14e5
Austria,1390.0,1325e3
Austria,1400.0,125e4
Austria,1410.0,1325e3
Austria,1420.0,14e5
Austria,1430.0,1475e3
Austria,1440.0,155e4
Austria,1450.0,1625e3
Austria,1460.0,17e5
Austria,1470.0,1775e3
Austria,1480.0,185e4
Austria,1490.0,1925e3
Austria,1500.0,2e6
Austria,1510.0,205e4
Austria,1520.0,21e5
Austria,1530.0,215e4
Austria,1540.0,22e5
Austria,1550.0,225e4
Austria,1560.0,23e5
Austria,1570.0,235e4
Austria,1580.0,24e5
Austria,1590.0,245e4
Austria,1600.0,25e5
Austria,1610.0,25e5
Austria,1620.0,25e5
Austria,1630.0,25e5
Austria,1640.0,25e5
Austria,1650.0,25e5
Austria,1660.0,25e5
Austria,1670.0,25e5
Austria,1680.0,25e5
Austria,1690.0,25e5
Austria,1700.0,25e5
Austria,1710.0,255e4
Austria,1720.0,26e5
Austria,1730.0,265e4
Austria,1740.0,27e5
Austria,1750.0,275e4
Austria,1760.0,28e5
Austria,1770.0,285e4
Austria,1780.0,29e5
Austria,1790.0,295e4
Austria,1800.0,3e6
Austria,1810.0,33e5
Austria,1820.0,36e5
Austria,1830.0,39e5
Austria,1840.0,42e5
Austria,1850.0,45e5
Austria,1860.0,48e5
Austria,1870.0,51e5
Austria,1880.0,54e5
Austria,1890.0,57e5
Austria,1900.0,6e6
Belgium,1300.0,1152500.0
Belgium,1310.0,1111010.0
Belgium,1320.0,1069520.0
Belgium,1330.0,1028030.0
Belgium,1340.0,986540.0
Belgium,1350.0,945050.0
Belgium,1360.0,903560.0
Belgium,1370.0,862070.0
Belgium,1380.0,820580.0
Belgium,1390.0,779090.0
Belgium,1400.0,737600.0
Belgium,1410.0,779090.0
Belgium,1420.0,820580.0
Belgium,1430.0,862070.0
Belgium,1440.0,903560.0
Belgium,1450.0,945050.0
Belgium,1460.0,986540.0
Belgium,1470.0,1028030.0
Belgium,1480.0,1069520.0
Belgium,1490.0,1111010.0
Belgium,1500.0,1152500.0
Belgium,1510.0,1175550.0
Belgium,1520.0,1198600.0
Belgium,1530.0,1221650.0
Belgium,1540.0,1244700.0
Belgium,1550.0,1267750.0
Belgium,1560.0,1290800.0
Belgium,1570.0,1313850.0
Belgium,1580.0,1336900.0
Belgium,1590.0,1359950.0
Belgium,1600.0,1383e3
Belgium,1610.0,1406050.0
Belgium,1620.0,1429100.0
Belgium,1630.0,1452150.0
Belgium,1640.0,1475200.0
Belgium,1650.0,1498250.0
Belgium,1660.0,1521300.0
