country,decade,revenues,taxes.percap
Austria,1500,NA,NA
Austria,1510,NA,NA
Austria,1520,NA,NA
Austria,1530,NA,NA
Austria,1540,NA,NA
Austria,1550,NA,NA
Austria,1560,NA,NA
Austria,1570,NA,NA
Austria,1580,NA,NA
Austria,1590,NA,NA
Austria,1600,NA,NA
Austria,1610,NA,NA
Austria,1620,NA,NA
Austria,1630,NA,NA
Austria,1640,NA,NA
Austria,1650,10.55270792,10.55270792
Austria,1660,NA,10.55270792
Austria,1670,NA,10.55270792
Austria,1680,NA,10.55270792
Austria,1690,NA,10.55270792
Austria,1700,15.57090372,15.57090372
Austria,1710,NA,15.57090372
Austria,1720,NA,15.57090372
Austria,1730,NA,15.57090372
Austria,1740,NA,15.57090372
Austria,1750,23.04071686,23.04071686
Austria,1760,NA,23.04071686
Austria,1770,NA,23.04071686
Austria,1780,42.95481074,42.95481074
Austria,1790,NA,42.95481074
England,1500,5.499568191,5.499568191
England,1510,NA,5.499568191
England,1520,NA,5.499568191
England,1530,NA,5.499568191
England,1540,NA,5.499568191
England,1550,8.928165396,8.928165396
England,1560,NA,8.928165396
England,1570,NA,8.928165396
England,1580,NA,8.928165396
England,1590,NA,8.928165396
England,1600,15.22018211,15.22018211
England,1610,NA,15.22018211
England,1620,NA,15.22018211
England,1630,NA,15.22018211
England,1640,NA,15.22018211
England,1650,38.69788882,38.69788882
England,1660,NA,38.69788882
England,1670,NA,38.69788882
England,1680,NA,38.69788882
England,1690,NA,38.69788882
England,1700,91.93789158,91.93789158
England,1710,NA,91.93789158
England,1720,NA,91.93789158
England,1730,NA,91.93789158
England,1740,NA,91.93789158
England,1750,109.141904,109.141904
England,1760,NA,109.141904
England,1770,NA,109.141904
England,1780,172.3491306,172.3491306
England,1790,NA,172.3491306
France,1500,7.158810984,7.158810984
France,1510,NA,7.158810984
France,1520,NA,7.158810984
France,1530,NA,7.158810984
France,1540,NA,7.158810984
France,1550,10.87710293,10.87710293
France,1560,NA,10.87710293
France,1570,NA,10.87710293
France,1580,NA,10.87710293
France,1590,NA,10.87710293
France,1600,18.13195259,18.13195259
France,1610,NA,18.13195259
France,1620,NA,18.13195259
France,1630,NA,18.13195259
France,1640,NA,18.13195259
France,1650,56.54534889,56.54534889
France,1660,NA,56.54534889
France,1670,NA,56.54534889
France,1680,NA,56.54534889
France,1690,NA,56.54534889
France,1700,43.51669933,43.51669933
France,1710,NA,43.51669933
France,1720,NA,43.51669933
France,1730,NA,43.51669933
France,1740,NA,43.51669933
