century,country,urbanization
1300.0,Austria,1.0
1400.0,Austria,2.16
1500.0,Austria,2.5
1600.0,Austria,3.64
1700.0,Austria,6.8
1750.0,Austria,9.091
1800.0,Austria,11.6
1850.0,Austria,13.578
1300.0,Belgium,15.705
1400.0,Belgium,48.265
1500.0,Belgium,27.679
1600.0,Belgium,20.68
1700.0,Belgium,27.89
1750.0,Belgium,17.657
1800.0,Belgium,20.524
1850.0,Belgium,23.046
1300.0,Czech Republic,3.944
1400.0,Czech Republic,6.159
1500.0,Czech Republic,5.889
1600.0,Czech Republic,4.142
1700.0,Czech Republic,3.962
1750.0,Czech Republic,2.132
1800.0,Czech Republic,4.106
1850.0,Czech Republic,3.803
1300.0,Denmark,0.0
1400.0,Denmark,1.8
1500.0,Denmark,1.667
1600.0,Denmark,7.714
1700.0,Denmark,8.125
1750.0,Denmark,8.889
1800.0,Denmark,11.3
1850.0,Denmark,9.829
1300.0,England,4.728
1400.0,England,4.45
1500.0,England,3.028
1600.0,England,9.106
1700.0,England,16.424
1750.0,England,17.567
1800.0,England,31.468
1850.0,England,38.928
1300.0,Finland,0.0
1400.0,Finland,0.0
1500.0,Finland,0.0
1600.0,Finland,0.0
1700.0,Finland,0.0
1750.0,Finland,1.091
1800.0,Finland,1.375
1850.0,Finland,2.817
1300.0,France,6.375
1400.0,France,7.427
1500.0,France,7.207
1600.0,France,7.541
1700.0,France,9.627
1750.0,France,10.247
1800.0,France,11.793
1850.0,France,16.666
1300.0,Germany,5.744
1400.0,Germany,5.954
1500.0,Germany,6.344
1600.0,Germany,6.742
1700.0,Germany,5.423
1750.0,Germany,7.419
1800.0,Germany,9.922
1850.0,Germany,11.859
1300.0,Gibraltar,NA
1400.0,Gibraltar,NA
1500.0,Gibraltar,NA
1600.0,Gibraltar,NA
1700.0,Gibraltar,NA
1750.0,Gibraltar,NA
1800.0,Gibraltar,NA
1850.0,Gibraltar,NA
1300.0,Greece,NA
1400.0,Greece,NA
1500.0,Greece,NA
1600.0,Greece,NA
1700.0,Greece,NA
1750.0,Greece,NA
1800.0,Greece,NA
1850.0,Greece,NA
1300.0,Hungary,0.0
1400.0,Hungary,1.5
1500.0,Hungary,3.04
1600.0,Hungary,1.44
1700.0,Hungary,2.667
1750.0,Hungary,9.516
1800.0,Hungary,15.2
1850.0,Hungary,17.502
1300.0,Ireland,4.491
1400.0,Ireland,2.994
1500.0,Ireland,1.198
1600.0,Ireland,0.0
1700.0,Ireland,5.509
1750.0,Ireland,7.294
1800.0,Ireland,10.06
1850.0,Ireland,13.659
1300.0,Italy,14.48
1400.0,Italy,14.371
1500.0,Italy,14.57
1600.0,Italy,21.358
1700.0,Italy,18.854
1750.0,Italy,18.012
1800.0,Italy,23.495
1850.0,Italy,21.54
1300.0,Luxembourg,0.0
1400.0,Luxembourg,0.0
1500.0,Luxembourg,0.0
1600.0,Luxembourg,0.0
1700.0,Luxembourg,0.0
1750.0,Luxembourg,0.0
1800.0,Luxembourg,3.945
1850.0,Luxembourg,5.503
1300.0,Netherlands,8.625
1400.0,Netherlands,11.0
1500.0,Netherlands,23.0
1600.0,Netherlands,27.067
1700.0,Netherlands,34.65
1750.0,Netherlands,30.8
1800.0,Netherlands,34.45
1850.0,Netherlands,27.669
1300.0,Northern Ireland,0.0
1400.0,Northern Ireland,0.0
1500.0,Northern Ireland,0.0
1600.0,Northern Ireland,0.0
1700.0,Northern Ireland,0.0
1750.0,Northern Ireland,1.408
1800.0,Northern Ireland,6.696
1850.0,Northern Ireland,15.167
1300.0,Norway,1.75
1400.0,Norway,0.0
1500.0,Norway,1.75
1600.0,Norway,1.6
1700.0,Norway,1.667
1750.0,Norway,4.8
1800.0,Norway,4.778
1850.0,Norway,6.54
1300.0,Poland,0.771
1400.0,Poland,2.182
1500.0,Poland,3.5
1600.0,Poland,5.7
1700.0,Poland,2.65
1750.0,Poland,3.293
1800.0,Poland,4.278
1850.0,Poland,5.352
1300.0,Portugal,5.28
1400.0,Portugal,8.111
1500.0,Portugal,12.4
1600.0,Portugal,9.25
1700.0,Portugal,11.7
1750.0,Portugal,15.158
1800.0,Portugal,15.818
1850.0,Portugal,13.781
1300.0,Scotland,0.0
1400.0,Scotland,0.0
1500.0,Scotland,5.4
1600.0,Scotland,7.143
1700.0,Scotland,7.1
1750.0,Scotland,12.0
1800.0,Scotland,24.72
1850.0,Scotland,31.791
1300.0,Slovakia,0.0
1400.0,Slovakia,0.0
1500.0,Slovakia,1.044
1600.0,Slovakia,0.928
1700.0,Slovakia,1.451
1750.0,Slovakia,3.342
1800.0,Slovakia,3.481
1850.0,Slovakia,3.815
1300.0,Spain,11.533
1400.0,Spain,9.364
1500.0,Spain,12.708
1600.0,Spain,17.694
1700.0,Spain,12.525
1750.0,Spain,14.379
1800.0,Spain,20.965
1850.0,Spain,24.253
1300.0,Sweden,0.0
1400.0,Sweden,0.0
1500.0,Sweden,0.875
1600.0,Sweden,0.9
1700.0,Sweden,3.867
1750.0,Sweden,5.1
1800.0,Sweden,4.32
1850.0,Sweden,5.307
1300.0,Switzerland,0.75
1400.0,Switzerland,3.0
1500.0,Switzerland,2.75
1600.0,Switzerland,4.1
1700.0,Switzerland,4.88
1750.0,Switzerland,5.6
1800.0,Switzerland,5.714
1850.0,Switzerland,12.76
1300.0,Wales,0.0
1400.0,Wales,0.0
1500.0,Wales,0.0
1600.0,Wales,0.0
1700.0,Wales,0.0
1750.0,Wales,0.0
1800.0,Wales,2.052
1850.0,Wales,4.596
