country,country.group,year,population
Austria,Austria,1300,2000000
Austria,Austria,1400,1250000
Austria,Austria,1500,2000000
Austria,Austria,1600,2500000
Austria,Austria,1700,2500000
Austria,Austria,1800,3000000
Austria,Austria,1900,6000000
Belgium,Belgium-Luxembourg,1300,1250000
Belgium,Belgium-Luxembourg,1400,800000
Belgium,Belgium-Luxembourg,1500,1250000
Belgium,Belgium-Luxembourg,1600,1500000
Belgium,Belgium-Luxembourg,1700,1750000
Belgium,Belgium-Luxembourg,1800,3250000
Belgium,Belgium-Luxembourg,1900,7000000
Czech Republic,Czechoslovakia,1300,3000000
Czech Republic,Czechoslovakia,1400,2500000
Czech Republic,Czechoslovakia,1500,3000000
Czech Republic,Czechoslovakia,1600,4500000
Czech Republic,Czechoslovakia,1700,4500000
Czech Republic,Czechoslovakia,1800,6750000
Czech Republic,Czechoslovakia,1900,12000000
Denmark,Denmark,1300,600000
Denmark,Denmark,1400,500000
Denmark,Denmark,1500,600000
Denmark,Denmark,1600,700000
Denmark,Denmark,1700,800000
Denmark,Denmark,1800,1000000
Denmark,Denmark,1900,2500000
England,England-Wales,1300,3750000
England,England-Wales,1400,2500000
England,England-Wales,1500,3750000
England,England-Wales,1600,4250000
England,England-Wales,1700,5750000
England,England-Wales,1800,9250000
England,England-Wales,1900,33000000
Finland,Finland,1300,100000
Finland,Finland,1400,100000
Finland,Finland,1500,100000
Finland,Finland,1600,200000
Finland,Finland,1700,300000
Finland,Finland,1800,800000
Finland,Finland,1900,2750000
France,France,1300,16000000
France,France,1400,11000000
France,France,1500,15000000
France,France,1600,18500000
France,France,1700,22000000
France,France,1800,29000000
France,France,1900,41000000
Germany,Germany,1300,9000000
Germany,Germany,1400,6500000
Germany,Germany,1500,9000000
Germany,Germany,1600,12000000
Germany,Germany,1700,13000000
Germany,Germany,1800,18000000
Germany,Germany,1900,43000000
Hungary,Hungary,1300,1250000
Hungary,Hungary,1400,1000000
Hungary,Hungary,1500,1250000
Hungary,Hungary,1600,1250000
Hungary,Hungary,1700,1500000
