year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
NA,1520,1500,1,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1530,1500,1,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1540,1500,5,5,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1580,1500,7,5,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1590,1500,11,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1600,1600,6,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1610,1600,22,18,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1620,1600,14,8,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1630,1600,25,4,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1640,1600,39,10,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1650,1600,10,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1660,1600,10,4,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1670,1600,8,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1680,1600,8,3,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1690,1600,28,3,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1700,1700,5,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1720,1700,5,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
NA,1520,1500,1,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1540,1500,8,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1550,1500,12,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1560,1500,16,4,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1570,1500,22,3,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1580,1500,15,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1590,1500,8,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1600,1600,7,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1610,1600,6,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1620,1600,22,3,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1630,1600,27,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1640,1600,66,11,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1650,1600,73,10,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1660,1600,87,25,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1670,1600,157,41,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1680,1600,121,9,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1690,1600,62,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
NA,1520,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1530,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1540,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1550,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1560,1500,5,4,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1570,1500,5,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1580,1500,17,11,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1590,1500,8,4,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1600,1600,12,6,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1610,1600,15,10,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1620,1600,43,14,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1630,1600,38,9,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1640,1600,51,6,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1650,1600,57,19,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1660,1600,63,15,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1670,1600,57,26,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1680,1600,45,22,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1690,1600,103,39,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1700,1700,106,46,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1710,1700,217,62,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1720,1700,227,64,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1730,1700,180,36,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1740,1700,185,51,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1750,1700,143,21,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1760,1700,47,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1770,1700,8,3,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
NA,1560,1500,4,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1570,1500,25,3,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1580,1500,17,5,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1590,1500,16,7,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1600,1600,21,11,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1610,1600,73,33,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1620,1600,134,69,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1630,1600,80,31,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1640,1600,97,41,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1650,1600,80,26,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1660,1600,157,47,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1670,1600,56,5,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1680,1600,64,1,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1690,1600,26,1,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1700,1700,2,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1710,1700,2,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1720,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1730,1700,6,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1740,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1750,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
NA,1470,1400,2,1,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
1494,1490,1400,1,1,NA,NA,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
1586,1580,1500,1,1,NA,NA,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,7,7,NA,Laufenburg,Aargau,Switzerland,NA,NA,Bader (1945)
1689,1680,1600,1,0,NA,NA,Aargau,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,1,1,NA,NA,Appenzell,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,1,1,NA,NA,Appenzell,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,1,1,NA,NA,Appenzell,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,1,1,NA,NA,Appenzell,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,1,1,NA,NA,Appenzell,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,4,4,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,4,4,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,4,4,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,4,4,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,4,4,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,1,1,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,1,1,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,1,1,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,1,1,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,1,1,NA,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,1,0,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,6,4,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,6,4,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,6,4,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,6,4,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,6,4,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,6,3,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,6,3,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,6,3,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,6,3,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,6,3,NA,Appenzell Innerrhoden,Appenzell Innerrhoden,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,2,2,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,2,2,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,2,2,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,2,2,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,2,2,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,11,8,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,11,8,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,11,8,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,11,8,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,11,8,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,2,1,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,2,1,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,2,1,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,2,1,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,2,1,NA,NA,Basel-Landschaft,Switzerland,NA,NA,Bader (1945)
NA,1400,1400,2,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1410,1400,2,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1420,1400,2,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1430,1400,2,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1440,1400,2,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1450,1400,1,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1460,1400,1,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1470,1400,1,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1480,1400,1,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1490,1400,1,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,2,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,2,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,2,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,2,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,2,1,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,1,0,NA,NA,Basel-Stadt,Switzerland,NA,NA,Bader (1945)
NA,1450,1400,1,1,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1460,1400,1,1,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1470,1400,1,1,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1480,1400,1,1,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1490,1400,1,1,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,2,2,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,2,2,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,2,2,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,2,2,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,2,2,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,5,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,5,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,5,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,5,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,5,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,3,0,NA,NA,Bern,Switzerland,NA,NA,Bader (1945)
NA,1350,1300,10,0,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1360,1300,10,0,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1370,1300,10,0,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1380,1300,10,0,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1390,1300,10,0,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1400,1400,17,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1410,1400,17,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1420,1400,17,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1430,1400,17,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1440,1400,17,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1450,1400,11,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1460,1400,11,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1470,1400,11,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1480,1400,11,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1490,1400,11,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,4,4,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
